id,name
1,Ingombota
2,Maianga
3,Rangel
4,Sambizanga
5,Neves Bendinha
6,Morro Bento
7,Vila Verde
8,Kilamba
9,Benfica
10,Golfe II
11,Futungo
12,Zango
13,Calumbo
14,Kikuxi
15,Viana
16,Baía
17,Tala-Hadi
18,11 de Novembro
19,Cazenga Sede
20,Hoji-ya-Henda
21,Kikolo
22,Sequele
23,Cacuaco Sede
24,Funda
25,Kicolo
26,Catete
27,Caculo Cabaça
28,Bom Jesus
30,Cabiri
31,Calomboloca
32,Muxima
34,Demba Chio
35,Mumbondo
36,Cabo Ledo
37,Quixinge
38,Mumbundo
39,Cacuaco
40,Mulenvos
41,Talatona