id,number,description,creation_date,file,created_at,reference,admin_id,coordinates,expires_at,limit,status
,97,"BAIRRO DOS PESCADORES,  PRÓXIMO DO MERCADO DO MUNDIAL.",7/5/2025,,,CACUACO-N97-2025-PT21,39,,,1,livre
,98,"BAIRRO DOS PESCADORES, NA RUA DO COMITÉ DA UNITA, ATRÁS DO M. MAMBO.",7/5/2025,,,CACUACO-N98-2025-PT22,39,,,1,livre
,99,"BAIRRO DA POLÍCIA, CABEÇA DO SOBA.",7/5/2025,,,CACUACO-N99-2025-PT23,39,,,1,livre
,205,"BAIRRO MARCONI, PRÓXIMO A ESTRADA DO BATE NÚ.",16/05/2025,,,HOJI-YA-HENDA-205-2025-PT80,20,,,1,livre
,232,"BAIRRO PORTO PESQUEIRO, E.N. 100.",26/05/2025,,,HOJI-YA-HENDA-232-2025-PT79,20,,,1,livre
,237,"BAIRRO ILHA DA MADEIRA, RUA DO PARQUE DO SOYO.",26/05/2025,,,HOJI-YA-HENDA-237-2025-PT34,20,,,1,livre
,246,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE.",26/05/2025,,,HOJI-YA-HENDA-246-2025-PT43,20,,,1,livre
,257,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE, PRÓXIMO A TRAVESSA DA RUA DO HUAMBO.",26/05/2025,,,HOJI-YA-HENDA-257-2025-PT52,20,,,1,livre
,176,"BAIRRO 11 DE NOVEMBRO, AVENIDA NGOLA KILUANJE, RUA DO MABULULU.",24/03/2025,,,HOJI-YA-HENDA-N176-2025-PT1,20,,,1,livre
,177,"BAIRRO 11 DE NOVEMBRO, AVENIDA NGOLA KILUANJE, LADO OPOSTO A RUA DA MANAUT.",24/03/2025,,,HOJI-YA-HENDA-N177-2025-PT2,20,,,1,livre
,178,"BAIRRO SANTO ANTÓNIO, RUA DO FUNCHAL, RUA DA PLÁSTICA.",24/03/2025,,,HOJI-YA-HENDA-N178-2025-PT3,20,,,1,livre
,179,"BAIRRO SANTO ANTÓNIO, RUA PORTO MONIZ, RUA DO BOM BECO.",24/03/2025,,,HOJI-YA-HENDA-N179-2025-PT4,20,,,1,livre
,180,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, LADO OPSTO A PARAGEM DOS MOTOQUEIROS.",24/03/2025,,,HOJI-YA-HENDA-N180-2025-PT5,20,,,1,livre
,181,"BAIRRO SANTO ANTÓNIO, RUA DO FUNCHAL, RUA PORTO MONIZ.",24/03/2025,,,HOJI-YA-HENDA-N181-2025-PT6,20,,,1,livre
,182,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, RUA PORTO SANTO, JORNAL DE ANGOLA.",24/03/2025,,,HOJI-YA-HENDA-N182-2025-PT7,20,,,1,livre
,183,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, RUA GALERIA MONTEIRO LUBOLO.",24/03/2025,,,HOJI-YA-HENDA-N183-2025-PT8,20,,,1,livre
,184,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, DE FRENTE AO CABRICUCA.",24/03/2025,,,HOJI-YA-HENDA-N184-2025-PT9,20,,,1,livre
,185,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, DEFRONTE A ESCOLA DA BORRACHEIRA.",24/03/2025,,,HOJI-YA-HENDA-N185-2025-PT10,20,,,1,livre
,186,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA  KILUANJE, RUA PONTO DO SOL.",24/03/2025,,,HOJI-YA-HENDA-N186-2025-PT11,20,,,1,livre
,187,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, RUA SANTA CRUZ.",24/03/2025,,,HOJI-YA-HENDA-N187-2025-PT12,20,,,1,livre
,188,"BAIRRO SÃO JOÃO, AVENIDA NGOLA KILUANJE, LADO OPOSTO A SUBESTAÇÃO DA END,",24/03/2025,,,HOJI-YA-HENDA-N188-2025-PT13,20,,,1,livre
,189,"BAIRRO SÃO JOÃO, AVENIDA NGOLA KILUANJE, RUA DA ESTRADA NOVA DA ENCIB, PARAGEM DOS MOTOQUEIROS.",24/03/2025,,,HOJI-YA-HENDA-N189-2025-PT14,20,,,1,livre
,190,"BAIRRO ILHA DA MADEIRA, 7ª AVENIDA, RUA DA LEMBRANÇA.",24/03/2025,,,HOJI-YA-HENDA-N190-2025PT15,20,,,1,livre
,191,"BAIRRO ILHA DA MADEIRA, 7ª AVENIDA, DEFRONTE À AROSFRAM.",24/03/2025,,,HOJI-YA-HENDA-N191-2025PT16,20,,,1,livre
,200,"BAIRRO SANTO ANTÓNIO, RUA ARCO DE SÃO JORGE, NO FINAL DA MESMA JUNTO A RUA DO FI«UNCHAL",16/05/2025,,,HOJI-YA-HENDA-N200-2025-PT81,20,,,1,livre
,202,"BAIRROM CAMPISMO, RUA SANTA CLARA F.",26/05/2025,,,HOJI-YA-HENDA-N202-2025-PT2,20,,,1,livre
,203,BAIRRO MARCONI.,26/05/2025,,,HOJI-YA-HENDA-N203-2025-PT3,20,,,1,livre
,204,"BAIRRO NGUANHÃ, ESTRADA NACIONAL 100.",26/05/2025,,,HOJI-YA-HENDA-N204-2025-PT4,20,,,1,livre
,206,"BAIRRO MARCONI, URBANIZALÇÃO MARCONI.",26/05/2025,,,HOJI-YA-HENDA-N206-2025-PT5,20,,,1,livre
,207,"BAIRRO MARCONI, E.N 100, ENTRADA DO HOSPITAL AGOSTINHO NETO.",26/05/2025,,,HOJI-YA-HENDA-N207-2025-PT6,20,,,1,livre
,208,"BAIRRO SANTA ANTÓNIO, TRAVESSA DA RUA PORTO SANTO.",26/05/2025,,,HOJI-YA-HENDA-N208-2025-PT7,20,,,1,livre
,209,"BAIRRO SANTO ANTÓNIO, RUA DO MONTE.",26/05/2025,,,HOJI-YA-HENDA-N209-2025-PT8,20,,,1,livre
,210,"BAIRRO SANTO ANTÓNIO, RUA DO MONTE.",26/05/2025,,,HOJI-YA-HENDA-N210-2025-PT9,20,,,1,livre
,211,"BAIRRO SANTO ANTÓNIO, RUA DA CAMACHA.",26/05/2025,,,HOJI-YA-HENDA-N211-2025-PT10,20,,,1,livre
,212,"BAIRRO SÃO JOÃO, AV.NGOLA KILUANJE.",26/05/2025,,,HOJI-YA-HENDA-N212-2025-PT11,20,,,1,livre
,213,"BAIRRO SÃO JOÃO, TRAVESSA DA RUA DO PORTO SANTOS, RUA SANTA CLARA F.",26/05/2025,,,HOJI-YA-HENDA-N213-2025-PT12,20,,,1,livre
,214,"BAIRRO SÃO JOÃO, RUA DA ESTRADA NOVA SUROCA.",26/05/2025,,,HOJI-YA-HENDA-N214-2025-PT13,20,,,1,livre
,215,"BAIRRO SÃO JOÃO, TRAVESSA DA RUA DO PORTO SANTO, RUA DO FUNCHAL.",26/05/2025,,,HOJI-YA-HENDA-N215-2025-PT14,20,,,1,livre
,216,"BAIRRO SÃO JOÃO, RUA PORTO SANTOS.",26/05/2025,,,HOJI-YA-HENDA-N216-2025-PT15,20,,,1,livre
,217,"BAIRRO NGUANHÃ, RUA SANTA CLARA F.",26/05/2025,,,HOJI-YA-HENDA-N217-2025-PT16,20,,,1,livre
,218,"BAIRRO SÃO JOÃO, RUA DO MONTEIRO LUBÓRIO.",26/05/2025,,,HOJI-YA-HENDA-N218-2025-PT17,20,,,1,livre
,219,"BAIRRO 11 DE NOVEMBRO, RUA 7ª AVENIDA, ENTRADA DA ANGOMARTE.",26/05/2025,,,HOJI-YA-HENDA-N219-2025-PT18,20,,,1,livre
,220,"BAIRRO KM 14, RUA NGOLA KILUANJE. FRENTE A ANTIGA PRAÇA DAS MULHERES.",26/05/2025,,,HOJI-YA-HENDA-N220-2025-PT19,20,,,1,livre
,221,"BAIRRO KM 14, RUA NGOLA KILUANJE.",26/05/2025,,,HOJI-YA-HENDA-N221-2025-PT20,20,,,1,livre
,222,"BAIRRO MARCONI, DEFRONTE A FEIRA DAS ROULOTES DO NGOMA.",26/05/2025,,,HOJI-YA-HENDA-N222-2025-PT21,20,,,1,livre
,223,"BAIRRO KAWELELE, RUA NGOLA KILUANJE.",26/05/2025,,,HOJI-YA-HENDA-N223-2025-PT22,20,,,1,livre
,224,"BAIRRO 11 DE NOVEMBRO, RUA NGOLA KILUANJE, ANTES DO BANCO BIC.",26/05/2025,,,HOJI-YA-HENDA-N224-2025-PT23,20,,,1,livre
,226,"BAIRRO 11 DE NOVEMBRO, RUA 7ª AVENIDA.",26/05/2025,,,HOJI-YA-HENDA-N226-2025-PT24,20,,,1,livre
,227,"BAIRRO PORTO PESQUEIRO, E.N. 100.",26/05/2025,,,HOJI-YA-HENDA-N227-2025-PT25,20,,,1,livre
,228,"BAIRRO NDALA MULEBA, E.N. 100.",26/05/2025,,,HOJI-YA-HENDA-N228-2025-PT26,20,,,1,livre
,229,"BAIRRO KM 14, ENTRADA DO CEMITÉRIO DA MULEMBA.",26/05/2025,,,HOJI-YA-HENDA-N229-2025-PT27,20,,,1,livre
,230,"BAIRRO NDALA MULEBA, RUA DO FAROL DAS LAGOSTAS TECNOCARRO.",26/05/2025,,,HOJI-YA-HENDA-N230-2025-PT28,20,,,1,livre
,231,"BAIRRO NDALA MULEBA, RUA DO SÃO PEDRO DA BARRA.",26/05/2025,,,HOJI-YA-HENDA-N231-2025-PT29,20,,,1,livre
,233,"BAIRRO SÃO PEDRO DA BARRA, E.N. 100, JUNTO AO CONTORNO DO NGOMA.",26/05/2025,,,HOJI-YA-HENDA-N233-2025-PT30,20,,,1,livre
,234,"BAIRRO SÃO PEDRO DA BARRA, RUA DO FAROL DAS LAGOSTAS .",26/05/2025,,,HOJI-YA-HENDA-N234-2025-PT31,20,,,1,livre
,235,"BAIRO NDALA MULEBA, E.N. 100.",26/05/2025,,,HOJI-YA-HENDA-N235-2025-PT32,20,,,1,livre
,236,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE.",26/05/2026,,,HOJI-YA-HENDA-N236-2025-PT33,20,,,1,livre
,238,"BAIRRO ILHA DA MADEIRA, RUA ANTIGA DO DANDE, DEFRONTE NA ESCOLA DOS OSSOS.",26/05/2025,,,HOJI-YA-HENDA-N238-2025-PT35,20,,,1,livre
,239,"BAIRRO ILHA DA MADEIRA, RUA DO FUNCHAL, DEFRONTE AO POSTO POLICIAL DA TORNANG.",26/05/2025,,,HOJI-YA-HENDA-N239-2025-PT36,20,,,1,livre
,240,"BAIRRO ILHA DA MADEIRA, TRAVESSA DO FUNCHAL, FRENTE A ESCOLA 3003.",26/05/2025,,,HOJI-YA-HENDA-N240-2025-PT37,20,,,1,livre
,241,"BAIRRO ILHA DA MADEIRA, TRAVESSA DO FUNCHAL, RUA DA NICARÁGUA.",26/05/2025,,,HOJI-YA-HENDA-N241-2025-PT38,20,,,1,livre
,242,"BAIRRO ILHA DA MADEIRA, RUA 7ª AVENIDA, ENTRADA DOS OSSOS.",26/05/2025,,,HOJI-YA-HENDA-N242-2025-PT39,20,,,1,livre
,243,"BAIRRO ILHA DA MADEIRA, RUA 7ª AVENIDA.",26/05/2025,,,HOJI-YA-HENDA-N243--2025-PT40,20,,,1,livre
,244,"BAIRRO ILHA DA MADEIRA, RUA ANTIGA DO DANDE, DEFRONTE NA ESCOLA DOS OSSOS.",26/05/2025,,,HOJI-YA-HENDA-N244-2025-PT41,20,,,1,livre
,245,"BAIRRO ILHA DA MADEIRA, RUA ANTIGA DO DANDE.",26/05/2025,,,HOJI-YA-HENDA-N245-2025-PT42,20,,,1,livre
,247,"BAIRRO ILHA DA MADEIRA, ENTRADA DO BECO 7.",26/05/2025,,,HOJI-YA-HENDA-N247-2025-PT44,20,,,1,livre
,248,"BAIRRO ILHA DA MADEIRA, RUA DA MÃE PRETA.",26/05/2025,,,HOJI-YA-HENDA-N248-2025-PT45,20,,,1,livre
,249,"BAIRRO ILHA DA MADEIRA, RUA TRAVESSA DA 7ª AVENIDA.",26/05/2025,,,HOJI-YA-HENDA-N249-2025-PT46,20,,,1,livre
,250,"BAIRRO ILHA DA MADEIRA, RUA PORTO SANTO.",26/05/2025,,,HOJI-YA-HENDA-N250-2025-PT47,20,,,1,livre
,251,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE NO FINAL DA MESMA, PRÓXIMO À RUA DO FUCNHAL.",16/05/2025,,,HOJI-YA-HENDA-N251-2025-PT78,20,,,1,livre
,253,"BAIRRO ILHA DA MADEIRA, RUA 7ª AVENIDA, ENTRADA DA URBANIZAÇÃO MARCONI.",26/05/2025,,,HOJI-YA-HENDA-N253-2025-PT48,20,,,1,livre
,254,"BAIRRO ILHA DA MADEIRA, AV. NGOLA KILUANJE, JUNTO AO MAWETE SPORT PLACE.",26/05/2025,,,HOJI-YA-HENDA-N254-2025-PT49,20,,,1,livre
,255,"BAIRRO ILHA DA MADEIRA, AV. NGOLA KILUANJE, JUNTO A BOMBA DE COMBUSTÍVEL DA SONANGOL.",26/05/2025,,,HOJI-YA-HENDA-N255-2025-PT50,20,,,1,livre
,256,"BAIRRO ILHA DA MADEIRA, AV.NGOLA KILUANJE, JUNTO À IGREJA COMBATE ESPIRITUAL.",26/05/2025,,,HOJI-YA-HENDA-N256-2025-PT51,20,,,1,livre
,258,"BAIRRO ILHA DA MADEIRA, RUA DO PEDRA VERDE.",26/05/2025,,,HOJI-YA-HENDA-N258-2025-PT53,20,,,1,livre
,259,"BAIRRO ILHA DA MADEIRA, RUA ILHA DA MADEIRA.",26/05/2025,,,HOJI-YA-HENDA-N259-2025-PT54,20,,,1,livre
,260,"BAIRRO ILHA DA MADEIRA, RUA DO PEDRA VERDE.",26/05/2025,,,HOJI-YA-HENDA-N260-2025-PT55,20,,,1,livre
,261,"BAIRRO ILHA DA MADEIRA, RUA ILHA DA MADEIRA NO FINAL DA MESMA PRÓXIMO A RUA DO FUNCHAL.",26/05/2025,,,HOJI-YA-HENDA-N261-2025-PT56,20,,,1,livre
,262,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE NO FINAL DA MESMA JUNTO A RUA DO FUNCHAL.",26/05/2025,,,HOJI-YA-HENDA-N262-2025-PT57,20,,,1,livre
,263,"BAIRRO ILHA DA MADEIRA, RUA DO FUNCHAL PRÓXIMO A AROSFRAN.",26/05/2025,,,HOJI-YA-HENDA-N263-2025-PT58,20,,,1,livre
,264,"BAIRRO ILHA DA MADEIRA, RUA DAS 7 MULHERES.",26/05/2025,,,HOJI-YA-HENDA-N264-2025-PT59,20,,,1,livre
,265,"BAIRRO ILHA DA MADEIRA, RUA DO FUNCHAL JUNTO AO POSTO POLICIAL.",26/05/2025,,,HOJI-YA-HENDA-N265-2025-PT60,20,,,1,livre
,266,"BAIRRO ILHA DA MADEIRA, RUA DO PRÉDIO MAJOR.",26/05/2025,,,HOJI-YA-HENDA-N266-2025-PT61,20,,,1,livre
,268,"BAIRRO SANTO ANTÓNIO, RUA SANTA CRUZ, FINAL DA MESMAPRÓXIMO A ESTRADA DA PORTO SANTOS.",26/05/2025,,,HOJI-YA-HENDA-N268-1-2025-PT62,20,,,1,livre
,268,"BAIRRO SANTO ANTONIO, RUA SANTA CRUZ, PRÓXIMO AO MAWETE SPORT PLACE,",26/05/2025,,,HOJI-YA-HENDA-N268-2-2025-PT84,20,,,1,livre
,269,"BAIRRO SÃO JOÃO, RUA DA PRAÇA DO TIRA PISTOLA.",26/05/2025,,,HOJI-YA-HENDA-N269-2025-PT63,20,,,1,livre
,270,"BAIRRO SANTA ANTÓNIO, RUA PORTO SANTO, JUNTO A SOPÃO.",26/05/2025,,,HOJI-YA-HENDA-N270-2025-PT64,20,,,1,livre
,272,"BAIRRO SANTO ANTÓNIO, RUA DA PLÁSTICA, NO FINAL JUNTO A RUA PORTO SANTOS.",26/05/2025,,,HOJI-YA-HENDA-N272-2025-PT65,20,,,1,livre
,273,"BAIRRO SANTO ANTÓNIO, RUA PORTO SANTO, JUNTO AO HOSPITAL DA SIGA.",26/05/2025,,,HOJI-YA-HENDA-N273-2025-PT66,20,,,1,livre
,274,"BAIRRO SÃO JOÃO, JUNTO AO SALÃO DO REINO DAS T.J.",26/05/2025,,,HOJI-YA-HENDA-N274-2025-PT67,20,,,1,livre
,275,"BAIRRO SÃO JOÃO, JUNTO A TABACARIA DO CASEMIRO.",26/05/2025,,,HOJI-YA-HENDA-N275-2025-PT68,20,,,1,livre
,276,"BAIRRO CAMPISMO, RUA NOSSA SENHORA DE FATÍMA, JUNTO AO PUNIV.",26/05/2025,,,HOJI-YA-HENDA-N276-2025-PT69,20,,,1,livre
,277,"BAIRRO DA PAZ, RUA DO INSTITUTO POLITÉCNICO.",26/05/2025,,,HOJI-YA-HENDA-N277-2025-PT70,20,,,1,livre
,278,"BAIRRO CANDUA, RUA DOS CUBANOS.",26/05/2025,,,HOJI-YA-HENDA-N278-2025-PT71,20,,,1,livre
,279,"BAIRRO CAWELELE, RUA DO BOM PASTOR, JUNTO AO INSTITUTO PRIVADO DE SAÚDE.",26/05/2025,,,HOJI-YA-HENDA-N279-2025-PT72,20,,,1,livre
,280,"BAIRRO CAWELELE,RUA DO BOM PASTOR NO FINAL DA MESMA PRÓXIMO DA ESTRADA NACIONAL 100.",26/05/2025,,,HOJI-YA-HENDA-N280-2025-PT73,20,,,1,livre
,281,"BAIRRO CAWELELE, RUA DA KIANDA NO FINAL DA MESMA PRÓXIMO DA ESTRADA NACIONAL 100.",26/05/2025,,,HOJI-YA-HENDA-N281-2025-PT74,20,,,1,livre
,282,"BAIRRO 11 DE NOVEMBRO, RUA DO HOSPITAL DA PAZ.",26/05/2025,,,HOJI-YA-HENDA-N282-2025-PT75,20,,,1,livre
,283,"BAIRRO 11 DE NOVEMBRO, RUA DO HOSPITAL DA PAZ JUNTO AO HOSPITAL.",26/05/2025,,,HOJI-YA-HENDA-N283-2025-PT76,20,,,1,livre
,284,"BAIRRO ILHA DA MADEIRA, RUA  11 KC, JUNTO AO CHAFARIZ.",26/05/2025,,,HOJI-YA-HENDA-N284-2025-PT77,20,,,1,livre
,286,"BAIRRO SANTO ANTÓNIO, TRAVESSA DA RUA DO FAIAL.",16/05/2025,,,HOJI-YA-HENDA-N286-2025-PT82,20,,,1,livre
,287,"BAIRRO SANTO ANTÓNIO, RUA RIBEIRA DA JANELA.",16/05/2025,,,HOJI-YA-HENDA-N287-2025-PT83,20,,,1,livre
,201,"BAIRRO VAL SUROCA, RUA DO HOLLY WOOD.",26/05/2025,,,HOJI-YA-HENDA-NN201-2025-PT1,20,,,1,livre
,DUI,AV.  MORTALA MOHAMED (ILHA) INTERIOR DO SECTOR (LELLO),18/12/2024,,,INGOMBOTA-DUI-2024-PT1,1,,,1,livre
,DUI,"RUA 1º CONGRESSO DO MPLA,  PARAGEM DA UNIV.LUZIADA DE ANGOLA",18/12/2024,,,INGOMBOTA-DUI-2024-PT10,1,,,1,livre
,DUI,"RUA REI KATYAVALA, PASSEIOEX. CINE LOANDA",18/12/2024,,,INGOMBOTA-DUI-2024-PT11,1,,,1,livre
,DUI,"LARGO DO AMBIENTE,  INTERIOR DO BAIRRO ANGOSHIP",18/12/2024,,,INGOMBOTA-DUI-2024-PT12,1,,,1,livre
,DUI,"RUA ENGRÁCIA FRAGOSO,  PASSEIO LADO OPOSTO A DISC. DOCKS",18/12/2024,,,INGOMBOTA-DUI-2024-PT13,1,,,1,livre
,DUI,"RUA RAINHA GINGA, PASSEIO JUNTO A EX.LOJA DA HYUNDAI",18/12/2024,,,INGOMBOTA-DUI-2024-PT14,1,,,1,livre
,DUI,"LARGO DO ATLETICO, PARTE EXTERIOR DO LARGO",18/12/2024,,,INGOMBOTA-DUI-2024-PT15,1,,,1,livre
,DUI,"RUA RAINHA GINGA, ADJACENTE A FUTURA SEDE DA EMPRESA",18/12/2024,,,INGOMBOTA-DUI-2024-PT16,1,,,1,livre
,DUI,"RUA LIGA AFRICANA,  INTERIOR DO BAIRRO MACULUSSO",18/12/2024,,,INGOMBOTA-DUI-2024-PT17,1,,,1,livre
,DUI,"RUA LIGA  AFRICANA,  INTERIOR DO BAIRRO MACULUSSO",18/12/2024,,,INGOMBOTA-DUI-2024-PT18,1,,,1,livre
,DUI,"RUA MASSANO DE AMORIM,  INTERIOR DA RUA MASSANO DE AMORIM",18/12/2024,,,INGOMBOTA-DUI-2024-PT19,1,,,1,livre
,DUI,AV.  MORTALA MOHAMED (ILHA) INTERIOR DO SECTOR (LELLO),18/12/2024,,,INGOMBOTA-DUI-2024-PT2,1,,,1,livre
,DUI,"RUA DR. ANTÓNIO AGOSTINHO NETO,  INTERIOR DO SECTOR CHICALA 2",18/12/2024,,,INGOMBOTA-DUI-2024-PT20,1,,,1,livre
,DUI,"RUA MAJOR KANHANGUO,  INTERIOR DO BAIRRO PATRICE LUMUMBA",18/12/2024,,,INGOMBOTA-DUI-2024-PT21,1,,,1,livre
,DUI,"RUA KIENDA,  INTERIOR SECTOR BOAVISTA",18/12/2024,,,INGOMBOTA-DUI-2024-PT22,1,,,1,livre
,DUI,"RUA KIMA KIENDA 1,  INTERIOR SECTOR BOAVISTA",18/12/2024,,,INGOMBOTA-DUI-2024-PT23,1,,,1,livre
,DUI,"RUA KIMA KIENDA 2,  INTERIOR SECTOR BOAVISTA",18/12/2024,,,INGOMBOTA-DUI-2024-PT24,1,,,1,livre
,DUI,"RUA DO MACULUSSO,  INTERIOR DO BAIRRO MACULUSSO",18/12/2024,,,INGOMBOTA-DUI-2024-PT25,1,,,1,livre
,DUI,"RUA DOM MANUEL 1,  INTERIOR DOM BAIRRO MACULUSSO",18/12/2024,,,INGOMBOTA-DUI-2024-PT26,1,,,1,livre
,DUI,"RUA MAJOR KANHANGUO,  INTERIOR DO BAIRRO PATRICE LUMUMBA",18/12/2024,,,INGOMBOTA-DUI-2024-PT27,1,,,1,livre
,DUI,"RUA DO BUNGO,  INTERIOR DO SECTOR BUNGO",18/12/2024,,,INGOMBOTA-DUI-2024-PT28,1,,,1,livre
,DUI,"RUA DOS MUNICÍPIOS,  INTERIOR DO SECTOR BUNGO",18/12/2024,,,INGOMBOTA-DUI-2024-PT29,1,,,1,livre
,DUI,AV.  MORTALA MOHAMED (ILHA) INTERIOR DO SECTOR (LELLO),18/12/2024,,,INGOMBOTA-DUI-2024-PT3,1,,,1,livre
,DUI,"RUA KIMA KIENDA 2,  INTERIOR DO  SECTOR BOAVISTA",18/12/2024,,,INGOMBOTA-DUI-2024-PT30,1,,,1,livre
